lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-05T04:10:22.532Z,5,5,0,5,0,0,0,0,3,1,5,0,5,5,5
2021-04-12T08:05:43.616Z,5,5,0,5,0,0,0,0,3,1,5,0,5,5,5
2021-04-12T08:05:43.616Z,5,5,0,5,0,0,0,0,3,1,5,0,5,5,5
2021-04-24T17:01:45.684Z,6,6,0,6,0,0,0,0,3,1,6,1,6,6,6
2021-04-28T00:51:18.910Z,8,8,0,8,0,0,0,0,4,3,8,1,8,8,8
2021-04-28T16:16:26.085Z,9,9,0,9,0,0,0,0,5,4,9,1,9,9,9
2021-05-03T04:45:55.413Z,9,9,0,9,0,0,0,0,5,4,9,1,9,9,9
2021-06-06T21:15:44.765Z,7,7,0,7,0,0,0,0,5,3,7,2,7,7,7
2021-06-14T06:06:14.078Z,6,6,0,6,0,0,0,0,4,2,6,2,6,6,6
2021-06-15T19:40:50.364Z,6,6,0,6,0,0,0,0,4,2,6,2,6,6,6
2021-06-21T06:47:28.890Z,6,6,0,6,0,0,0,0,4,2,6,2,6,6,6
2021-06-24T10:55:28.031Z,6,6,0,6,0,0,0,0,4,2,6,2,6,6,6
2021-06-28T18:08:39.175Z,4,4,0,4,0,0,0,0,4,2,4,0,4,4,4
2021-07-01T18:43:50.117Z,4,4,0,4,0,0,0,0,4,2,4,0,4,4,4
2021-07-08T08:26:54.285Z,6,6,0,6,0,0,0,0,4,2,6,0,6,6,6
2021-08-31T19:21:54.035Z,25,25,0,25,0,0,0,0,6,7,25,0,25,25,25
2021-09-03T18:31:24.387Z,25,25,0,25,0,0,0,0,6,7,25,0,25,25,25
2021-09-08T18:26:42.026Z,25,25,0,25,0,0,0,0,6,7,25,0,25,25,25
2021-09-10T17:38:04.309Z,25,25,0,25,0,0,0,0,6,7,25,0,25,25,25
2021-09-13T06:50:39.189Z,55,55,0,55,0,0,0,0,12,18,55,0,55,55,55
2021-09-20T17:22:23.957Z,25,25,0,25,0,0,0,0,6,7,25,0,25,25,25
2021-09-20T17:25:05.918Z,25,25,0,25,0,0,0,0,6,7,25,0,25,25,25
2021-09-22T17:41:17.253Z,25,25,0,25,0,0,0,0,6,7,25,0,25,25,25
2021-09-23T18:35:27.624Z,25,25,0,25,0,0,0,0,6,7,25,0,25,25,25
2021-09-25T16:45:25.303Z,29,29,0,29,0,0,0,0,6,10,29,0,29,29,29
2021-09-27T01:31:04.712Z,25,25,0,25,0,0,0,0,6,7,25,0,25,25,25
