lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-04-05T04:10:22.820Z,10,10,1,10,10,0,0,0,1,3,10,2,10,10,10
2021-04-12T08:05:45.931Z,9,9,1,9,9,0,0,0,0,3,9,2,9,9,9
2021-04-19T05:41:23.728Z,10,10,1,10,10,0,0,0,0,3,10,1,10,10,10
2021-04-24T17:01:42.981Z,10,10,1,10,10,0,0,0,0,3,10,1,10,10,10
2021-04-28T00:51:14.173Z,9,9,1,9,9,0,0,0,0,3,9,1,9,9,9
2021-04-28T16:16:22.857Z,8,8,1,8,8,0,0,0,0,3,8,1,8,8,8
2021-05-03T04:45:53.237Z,11,11,1,11,11,0,0,0,0,4,11,1,11,11,11
2021-06-06T21:15:46.666Z,9,9,1,9,9,0,0,0,0,4,9,2,9,9,9
2021-06-14T06:06:00.200Z,8,8,1,8,8,0,0,0,0,4,8,2,8,8,8
2021-06-15T19:40:38.493Z,8,8,1,8,8,0,0,0,0,4,8,2,8,8,8
2021-06-21T06:47:31.043Z,9,9,1,9,9,0,0,0,0,3,9,2,9,9,9
2021-06-24T10:55:14.945Z,10,10,1,10,10,0,0,0,0,3,10,2,10,10,10
2021-06-28T18:08:19.878Z,13,13,1,13,13,0,0,0,0,3,13,2,13,13,13
2021-07-01T18:43:31.576Z,15,15,1,15,15,0,0,0,0,3,15,2,15,15,15
2021-07-08T08:26:56.863Z,17,17,1,17,17,0,0,0,0,4,17,3,17,17,17
2021-08-31T19:21:38.531Z,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1
2021-09-03T18:31:15.627Z,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1
2021-09-08T18:26:30.994Z,3,3,0,3,3,0,0,0,0,0,3,1,3,3,3
2021-09-10T17:37:55.922Z,3,3,0,3,3,0,0,0,0,0,3,1,3,3,3
2021-09-13T06:50:17.491Z,2,2,0,2,2,0,0,0,0,0,2,1,2,2,2
2021-09-20T17:22:13.502Z,3,3,0,3,3,0,0,0,0,0,3,0,3,3,3
2021-09-20T17:24:55.678Z,3,3,0,3,3,0,0,0,0,0,3,0,3,3,3
2021-09-22T17:41:10.755Z,2,2,0,2,2,0,0,0,0,0,2,0,2,2,2
2021-09-23T18:35:07.564Z,2,2,0,2,2,0,0,0,0,0,2,0,2,2,2
