lastScraped,position,company,contact,location,posted,due,start,end,compensation,qualifications,skills,remote,index,url,description
2021-02-08T05:58:48.357Z,11,11,2,11,11,0,2,0,0,4,11,2,11,11,11
2021-02-08T05:58:48.357Z,11,11,2,11,11,0,2,0,0,4,11,2,11,11,11
2021-04-28T04:55:45.521Z,530,530,44,530,530,15,23,0,135,195,529,114,530,530,530
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-06T21:19:31.019Z,967,967,63,967,967,24,53,0,216,321,960,178,967,967,967
2021-06-14T06:09:18.252Z,130,130,7,130,130,2,7,0,26,43,129,20,130,130,130
2021-06-15T19:43:59.369Z,81,81,5,81,81,1,6,0,16,29,79,11,81,81,81
2021-06-21T06:50:43.592Z,67,67,3,67,67,1,6,0,16,21,67,16,67,67,67
2021-06-24T10:58:43.093Z,68,68,1,68,68,3,4,0,16,21,68,13,68,68,68
2021-06-28T18:10:48.433Z,64,64,3,64,64,0,2,0,12,12,63,18,64,64,64
2021-07-01T18:46:12.760Z,58,58,6,58,58,1,5,0,11,16,58,10,58,58,58
2021-07-08T08:29:43.691Z,34,34,2,34,34,0,1,0,4,16,33,5,34,34,34
2021-10-04T10:50:28.804Z,122,122,13,122,122,2,13,0,35,48,122,20,122,122,122
2021-10-04T10:50:28.804Z,122,122,13,122,122,2,13,0,35,48,122,20,122,122,122
